phase,T_celsius,T_K,elem_a,elem_b,omega_Jmol,z_bcc,lsq_xmin,lsq_xmax,lsq_npts
BCC_A2,610,883.15,FE,NB,1132.636039126054,8,0.05,0.95,19
BCC_A2,610,883.15,FE,NI,767.1252800187873,8,0.05,0.95,19
BCC_A2,610,883.15,FE,SI,-16941.669996366454,8,0.05,0.95,19
BCC_A2,610,883.15,FE,TI,-5604.284636470968,8,0.05,0.95,19
BCC_A2,610,883.15,FE,W,130.6342945381899,8,0.05,0.95,19
BCC_A2,610,883.15,MN,MO,1267.8000752230514,8,0.05,0.95,19
BCC_A2,610,883.15,MN,NB,17.862418749578886,8,0.05,0.95,19
BCC_A2,610,883.15,MN,NI,-367.57400425030005,8,0.05,0.95,19
BCC_A2,610,883.15,MN,SI,-11184.16635398022,8,0.05,0.95,19
BCC_A2,610,883.15,MN,TI,-2881.9929440481137,8,0.05,0.95,19
BCC_A2,610,883.15,MN,W,17.862418751231672,8,0.05,0.95,19
BCC_A2,610,883.15,MO,NB,1.2324307196642181e-08,8,0.05,0.95,19
BCC_A2,610,883.15,MO,NI,52.56364812494779,8,0.05,0.95,19
BCC_A2,610,883.15,MO,SI,-7499.625939022134,8,0.05,0.95,19
BCC_A2,610,883.15,MO,TI,-840.4952857839803,8,0.05,0.95,19
BCC_A2,610,883.15,MO,W,249.98753129322702,8,0.05,0.95,19
BCC_A2,610,883.15,NB,NI,-2296.6885110552216,8,0.05,0.95,19
BCC_A2,610,883.15,NB,SI,-18624.336032765692,8,0.05,0.95,19
BCC_A2,610,883.15,NB,TI,1749.912718906823,8,0.05,0.95,19
BCC_A2,610,883.15,NB,W,-4292.6608932862255,8,0.05,0.95,19
BCC_A2,610,883.15,NI,SI,-25619.987705955533,8,0.05,0.95,19
BCC_A2,610,883.15,NI,TI,-12127.937141552033,8,0.05,0.95,19
BCC_A2,610,883.15,NI,W,0.20304094323847074,8,0.05,0.95,19
BCC_A2,610,883.15,SI,TI,-32960.08082893082,8,0.05,0.95,19
BCC_A2,610,883.15,SI,W,2.2919459185163184e-07,8,0.05,0.95,19
BCC_A2,610,883.15,TI,W,179.88265458412616,8,0.05,0.95,19
BCC_A2,630,903.15,CR,CU,0.6796919467138179,8,0.05,0.95,19
BCC_A2,630,903.15,CR,FE,3611.4610995978433,8,0.05,0.95,19
BCC_A2,630,903.15,CR,MN,-2529.536903175858,8,0.05,0.95,19
BCC_A2,630,903.15,CR,MO,1324.0112831042995,8,0.05,0.95,19
BCC_A2,630,903.15,CR,NB,518.3641804646104,8,0.05,0.95,19
BCC_A2,630,903.15,CR,NI,317.24025566072595,8,0.05,0.95,19
BCC_A2,630,903.15,CR,SI,-13066.566376313054,8,0.05,0.95,19
BCC_A2,630,903.15,CR,TI,1270.8574693545227,8,0.05,0.95,19
BCC_A2,630,903.15,CR,W,332.19787361976216,8,0.05,0.95,19
BCC_A2,630,903.15,CU,FE,101.08175587079386,8,0.05,0.95,19
BCC_A2,630,903.15,CU,MN,2182.485206783326,8,0.05,0.95,19
BCC_A2,630,903.15,CU,MO,2.0998475850543002e-08,8,0.05,0.95,19
BCC_A2,630,903.15,CU,NB,42.778536427968746,8,0.05,0.95,19
BCC_A2,630,903.15,CU,NI,1085.6708099013658,8,0.05,0.95,19
BCC_A2,630,903.15,CU,SI,-3246.0479094099846,8,0.05,0.95,19
BCC_A2,630,903.15,CU,TI,-1.3391079526747657e-08,8,0.05,0.95,19
BCC_A2,630,903.15,CU,W,2.259044543132664e-08,8,0.05,0.95,19
BCC_A2,630,903.15,FE,MN,1480.9694495237543,8,0.05,0.95,19
BCC_A2,630,903.15,FE,MO,651.3746417781452,8,0.05,0.95,19
BCC_A2,630,903.15,FE,NB,1087.3218343567783,8,0.05,0.95,19
BCC_A2,630,903.15,FE,NI,795.5610104155945,8,0.05,0.95,19
BCC_A2,630,903.15,FE,SI,-16978.726440881455,8,0.05,0.95,19
BCC_A2,630,903.15,FE,TI,-5649.598841062359,8,0.05,0.95,19
BCC_A2,630,903.15,FE,W,154.61228693079536,8,0.05,0.95,19
BCC_A2,630,903.15,MN,MO,1266.2641699269357,8,0.05,0.95,19
BCC_A2,630,903.15,MN,NB,16.32651345290235,8,0.05,0.95,19
BCC_A2,630,903.15,MN,NI,-373.6718928368319,8,0.05,0.95,19
BCC_A2,630,903.15,MN,SI,-11185.70225927382,8,0.05,0.95,19
BCC_A2,630,903.15,MN,TI,-2883.528849342075,8,0.05,0.95,19
BCC_A2,630,903.15,MN,W,16.32651345463644,8,0.05,0.95,19
BCC_A2,630,903.15,MO,NB,1.2360309769429073e-08,8,0.05,0.95,19
BCC_A2,630,903.15,MO,NI,60.68427102471948,8,0.05,0.95,19
BCC_A2,630,903.15,MO,SI,-7499.625939021445,8,0.05,0.95,19
BCC_A2,630,903.15,MO,TI,-712.6808068889947,8,0.05,0.95,19
BCC_A2,630,903.15,MO,W,249.9875312933303,8,0.05,0.95,19
BCC_A2,630,903.15,NB,NI,-2300.4477995368084,8,0.05,0.95,19
BCC_A2,630,903.15,NB,SI,-18624.336032764422,8,0.05,0.95,19
BCC_A2,630,903.15,NB,TI,1749.912718952236,8,0.05,0.95,19
BCC_A2,630,903.15,NB,W,-4292.660893285744,8,0.05,0.95,19
BCC_A2,630,903.15,NI,SI,-25623.746994433404,8,0.05,0.95,19
BCC_A2,630,903.15,NI,TI,-12132.21924431915,8,0.05,0.95,19
BCC_A2,630,903.15,NI,W,0.4054382529274676,8,0.05,0.95,19
BCC_A2,630,903.15,SI,TI,-32959.9217991158,8,0.05,0.95,19
BCC_A2,630,903.15,SI,W,2.2907387614545216e-07,8,0.05,0.95,19
BCC_A2,630,903.15,TI,W,193.90437751201367,8,0.05,0.95,19
BCC_A2,650,923.15,CR,CU,0.9857929322083976,8,0.05,0.95,19
BCC_A2,650,923.15,CR,FE,3605.0738649056784,8,0.05,0.95,19
BCC_A2,650,923.15,CR,MN,-2530.4913836220876,8,0.05,0.95,19
BCC_A2,650,923.15,CR,MO,1452.1962182404998,8,0.05,0.95,19
BCC_A2,650,923.15,CR,NB,580.8711884221275,8,0.05,0.95,19
BCC_A2,650,923.15,CR,NI,400.33357855006255,8,0.05,0.95,19
BCC_A2,650,923.15,CR,SI,-13066.568422830804,8,0.05,0.95,19
BCC_A2,650,923.15,CR,TI,1347.6348161455608,8,0.05,0.95,19
BCC_A2,650,923.15,CR,W,366.5905087080738,8,0.05,0.95,19
BCC_A2,650,923.15,CU,FE,120.90750217340846,8,0.05,0.95,19
BCC_A2,650,923.15,CU,MN,2225.3692850321877,8,0.05,0.95,19
BCC_A2,650,923.15,CU,MO,2.1013009382641182e-08,8,0.05,0.95,19
BCC_A2,650,923.15,CU,NB,49.48847288557882,8,0.05,0.95,19
BCC_A2,650,923.15,CU,NI,1082.308885482079,8,0.05,0.95,19
BCC_A2,650,923.15,CU,SI,-3242.5384187495483,8,0.05,0.95,19
BCC_A2,650,923.15,CU,TI,-1.3393796090928213e-08,8,0.05,0.95,19
